Date,entry_signal,exit_signal,max_combs,max_probs
2013-01-24,False,True,,
2013-01-25,False,True,,
2013-01-28,False,True,,
2013-01-29,False,True,,
2013-01-30,False,True,,
2013-01-31,False,True,,
2013-02-01,False,True,"(1, 1, 2, 5)",0.38283915194839774
2013-02-04,True,False,"(3, 1, 2, 5)",0.7596000167935042
2013-02-05,True,False,"(5, 1, 2, 5)",0.9107480159519965
2013-02-06,True,False,"(5, 1, 2, 5)",0.7670195574788177
2013-02-07,True,False,"(5, 1, 6, 5)",0.9619094351964781
2013-02-08,True,False,"(5, 1, 6, 5)",0.9443829192684348
2013-02-11,True,False,"(5, 1, 6, 5)",0.9938783917325684
2013-02-12,True,False,"(5, 1, 6, 5)",0.9935333717274425
2013-02-13,True,False,"(1, 1, 7, 5)",0.9897954908098343
2013-02-14,True,False,"(1, 1, 7, 5)",0.9786937251963528
2013-02-15,True,False,"(2, 2, 2, 5)",0.20585677065159436
2013-02-19,True,False,"(2, 2, 2, 3)",0.9634478290348328
2013-02-20,True,False,"(2, 2, 2, 5)",0.5841378474124249
2013-02-21,True,False,"(3, 2, 2, 5)",0.44006791536347467
2013-02-22,True,False,"(5, 2, 2, 5)",0.30844599335081524
2013-02-25,True,False,"(4, 1, 2, 5)",0.2224148910834817
2013-02-26,True,False,"(5, 1, 2, 5)",0.24695558351396368
2013-02-27,True,False,"(2, 1, 2, 5)",0.26465799941216805
2013-02-28,True,False,"(1, 1, 2, 4)",0.24388068531275314
2013-03-01,True,False,"(3, 1, 2, 5)",0.780615927898549
2013-03-04,True,False,"(4, 1, 2, 5)",0.20663615650186468
2013-03-05,True,False,,
2013-03-06,True,False,,
2013-03-07,True,False,"(4, 1, 2, 2)",0.1751840918391267
2013-03-08,True,False,"(5, 1, 2, 5)",0.1371455644611315
2013-03-11,True,False,"(3, 1, 2, 5)",0.03676452144966296
2013-03-12,True,False,"(3, 2, 2, 5)",0.032213275310809884
2013-03-13,True,False,"(3, 2, 2, 4)",0.030799761372965185
2013-03-14,True,False,,
2013-03-15,True,False,,
2013-03-18,True,False,"(4, 1, 2, 5)",0.09054556772873176
2013-03-19,True,False,"(2, 1, 2, 5)",0.04309715887796285
2013-03-20,True,False,"(2, 1, 2, 5)",0.05693949271943714
2013-03-21,True,False,"(4, 1, 2, 5)",0.0573451555339565
2013-03-22,True,False,"(3, 1, 2, 5)",0.03315764777059438
2013-03-25,True,False,,
2013-03-26,True,False,"(4, 1, 2, 5)",0.5251767770047753
2013-03-27,True,False,"(1, 1, 2, 4)",0.3009821054710583
2013-03-28,True,False,"(2, 1, 2, 4)",0.43969671718229375
2013-04-01,True,False,"(2, 1, 2, 4)",0.3353310152629847
2013-04-02,True,False,,
2013-04-03,True,False,,
2013-04-04,True,False,,
2013-04-05,True,False,"(1, 1, 2, 5)",0.5559505207924224
2013-04-08,True,False,"(1, 1, 2, 4)",0.07141742978953718
2013-04-09,True,False,"(3, 1, 2, 4)",0.030904219784495413
2013-04-10,True,False,"(1, 1, 2, 4)",0.04726401712864179
2013-04-11,True,False,"(1, 1, 2, 4)",0.020450520286381408
2013-04-12,True,False,"(3, 1, 2, 4)",0.015569525961055602
2013-04-15,True,False,"(5, 1, 2, 4)",0.023963803085868835
2013-04-16,True,False,,
2013-04-17,True,False,,
2013-04-18,True,False,,
2013-04-19,True,False,,
2013-04-22,True,False,,
2013-04-23,True,False,,
2013-04-24,True,False,,
2013-04-25,True,False,,
2013-04-26,True,False,"(3, 1, 2, 5)",0.9468286659436669
2013-04-29,True,False,"(2, 1, 2, 5)",0.4184459109876635
2013-04-30,True,False,"(2, 1, 2, 5)",0.6329295995175611
2013-05-01,True,False,"(1, 1, 2, 5)",0.6186067003167298
2013-05-02,True,False,"(3, 1, 7, 2)",0.3071368669331873
2013-05-03,True,False,"(2, 2, 2, 4)",0.0717120957416582
2013-05-06,True,False,"(2, 2, 2, 2)",0.19952898209941541
