Date,entry_signal,exit_signal,max_combs,max_probs
2000-01-10,False,True,,
2000-01-11,False,True,,
2000-01-12,True,False,"(1, 1, 8, 5)",0.5605227207182946
2000-01-13,True,False,"(2, 1, 2, 2)",0.11097773416189906
2000-01-14,True,False,"(2, 1, 7, 5)",0.07195504655675448
2000-01-18,True,False,,
2000-01-19,True,False,,
2000-01-20,False,True,"(1, 1, 2, 2)",0.06241827871800337
2000-01-21,False,True,,
2000-01-24,False,True,,
2000-01-25,False,True,,
2000-01-26,False,True,,
2000-01-27,False,True,,
2000-01-28,False,True,,
2000-01-31,False,True,,
2000-02-01,False,True,,
2000-02-02,False,True,,
2000-02-03,False,True,,
2000-02-04,False,True,,
2000-02-07,False,True,,
2000-02-08,False,True,,
2000-02-09,False,True,"(2, 1, 2, 4)",0.14325828912925936
2000-02-10,False,True,"(3, 1, 2, 4)",0.09845242400638263
2000-02-11,False,True,,
2000-02-14,False,True,,
2000-02-15,False,True,,
2000-02-16,False,True,,
2000-02-17,False,True,,
2000-02-18,False,True,,
2000-02-22,False,True,,
2000-02-23,False,True,,
2000-02-24,False,True,,
2000-02-25,False,True,,
2000-02-28,False,True,,
2000-02-29,False,True,"(1, 1, 2, 4)",0.2534371725079278
2000-03-01,False,True,"(2, 1, 2, 4)",0.49020740600895363
2000-03-02,False,True,,
2000-03-03,False,True,"(3, 1, 2, 4)",0.2979609746731867
2000-03-06,True,False,"(2, 1, 2, 4)",0.5281710083347662
2000-03-07,True,False,,
2000-03-08,True,False,"(3, 1, 6, 5)",0.8514956414193992
2000-03-09,True,False,"(1, 1, 2, 4)",0.707364807482729
2000-03-10,True,False,"(2, 1, 2, 4)",0.6287510501558657
2000-03-13,True,False,"(2, 1, 2, 4)",0.822616658803051
2000-03-14,True,False,"(5, 1, 6, 5)",0.8641979049505285
2000-03-15,True,False,"(2, 1, 2, 4)",0.7689448308609078
2000-03-16,True,False,"(3, 2, 2, 4)",0.7118731270110883
2000-03-17,True,False,"(2, 2, 2, 4)",0.6866863213646985
2000-03-20,True,False,"(3, 2, 2, 4)",0.6480391592516999
2000-03-21,True,False,"(3, 2, 2, 4)",0.6883768268787476
2000-03-22,True,False,"(2, 2, 2, 4)",0.6585252904936916
2000-03-23,True,False,"(3, 2, 2, 4)",0.6625836935166834
2000-03-24,True,False,"(4, 2, 6, 5)",0.6755384160723568
2000-03-27,True,False,"(5, 2, 6, 5)",0.6371852065996813
2000-03-28,True,False,"(5, 1, 6, 5)",0.5987631439236774
2000-03-29,True,False,"(1, 1, 2, 4)",0.23675407108776614
2000-03-30,True,False,"(2, 2, 2, 4)",0.15649946525052288
2000-03-31,True,False,"(2, 2, 2, 4)",0.09764086758649251
2000-04-03,True,False,"(3, 2, 2, 4)",0.14930562901854388
2000-04-04,True,False,"(3, 2, 2, 4)",0.1104889824956242
2000-04-05,True,False,"(2, 2, 2, 4)",0.10546500209797438
2000-04-06,True,False,,
2000-04-07,True,False,,
2000-04-10,True,False,,
2000-04-11,True,False,"(4, 1, 2, 4)",0.060630869049198184
2000-04-12,True,False,,
2000-04-13,True,False,,
2000-04-14,True,False,,
2000-04-17,True,False,,
2000-04-18,True,False,,
2000-04-19,True,False,,
2000-04-20,True,False,"(1, 1, 2, 4)",0.5269523462698197
2000-04-24,True,False,"(1, 1, 2, 3)",0.339208903985794
2000-04-25,True,False,"(2, 2, 2, 3)",0.34480104476870876
2000-04-26,True,False,"(3, 2, 2, 3)",0.3053125379162055
2000-04-27,True,False,"(4, 2, 2, 3)",0.27282581372547143
2000-04-28,True,False,"(5, 2, 2, 3)",0.1288312219269824
2000-05-01,True,False,"(5, 1, 2, 3)",0.11878108724952699
2000-05-02,True,False,"(1, 1, 2, 3)",0.13004013549854423
2000-05-03,True,False,,
2000-05-04,True,False,,
2000-05-05,True,False,,
2000-05-08,True,False,"(4, 1, 6, 5)",0.7359076505170671
2000-05-09,True,False,"(1, 1, 6, 5)",0.6112554185539453
2000-05-10,True,False,"(1, 1, 2, 4)",0.16430243625201532
2000-05-11,True,False,"(2, 1, 2, 4)",0.30646775269142684
2000-05-12,True,False,"(3, 1, 2, 4)",0.34828151547278274
2000-05-15,True,False,"(3, 1, 2, 4)",0.13827528308462844
2000-05-16,True,False,"(1, 1, 2, 4)",0.13061279901509834
2000-05-17,True,False,"(5, 2, 2, 4)",0.13060447793860058
2000-05-18,True,False,"(4, 1, 2, 4)",0.10450289276690994
2000-05-19,True,False,"(5, 1, 2, 4)",0.18380459018475429
2000-05-22,True,False,"(4, 1, 2, 3)",0.0618828678702693
2000-05-23,True,False,"(1, 1, 2, 3)",0.0962693189436779
2000-05-24,True,False,"(3, 1, 2, 3)",0.053806751419363204
2000-05-25,True,False,,
2000-05-26,True,False,"(3, 1, 2, 3)",0.052880179271459604
2000-05-30,True,False,,
2000-05-31,True,False,,
2000-06-01,True,False,,
2000-06-02,True,False,,
2000-06-05,True,False,,
2000-06-06,True,False,,
2000-06-07,True,False,,
2000-06-08,True,False,,
2000-06-09,True,False,,
2000-06-12,True,False,,
2000-06-13,True,False,,
2000-06-14,True,False,,
2000-06-15,True,False,,
2000-06-16,True,False,,
2000-06-19,True,False,,
2000-06-20,True,False,,
2000-06-21,True,False,,
2000-06-22,True,False,,
2000-06-23,True,False,"(1, 1, 2, 4)",0.1880078442865707
2000-06-26,True,False,"(1, 1, 2, 4)",0.39418026601005957
2000-06-27,True,False,"(2, 2, 2, 4)",0.20805528927884306
2000-06-28,True,False,"(4, 2, 2, 4)",0.14499358142084487
2000-06-29,True,False,,
2000-06-30,True,False,"(5, 2, 2, 4)",0.16208232708109283
2000-07-03,True,False,"(2, 1, 2, 4)",0.139891889465184
2000-07-05,True,False,"(3, 1, 2, 4)",0.2867651424071507
2000-07-06,True,False,"(3, 1, 2, 4)",0.1736763485729303
2000-07-07,True,False,"(1, 1, 2, 4)",0.11203747339006975
2000-07-10,True,False,"(2, 1, 2, 4)",0.08718760988635205
2000-07-11,True,False,"(2, 1, 2, 4)",0.08828597351973397
2000-07-12,True,False,"(5, 1, 2, 4)",0.09567654626423353
2000-07-13,True,False,,
2000-07-14,True,False,,
2000-07-17,True,False,,
2000-07-18,True,False,,
2000-07-19,True,False,,
2000-07-20,True,False,"(1, 1, 2, 4)",0.2757902784574143
2000-07-21,True,False,,
2000-07-24,True,False,,
2000-07-25,True,False,"(3, 1, 2, 4)",0.3254196178569159
2000-07-26,True,False,"(1, 1, 2, 4)",0.6297658932867862
2000-07-27,True,False,"(2, 2, 2, 4)",0.5249704040165988
2000-07-28,True,False,"(2, 2, 2, 4)",0.41376104412113845
2000-07-31,True,False,"(4, 1, 2, 4)",0.39048008388624456
2000-08-01,True,False,"(3, 1, 2, 4)",0.2341628042785098
2000-08-02,True,False,"(4, 2, 2, 4)",0.21167636778444862
2000-08-03,True,False,"(2, 2, 2, 4)",0.14066714314024964
2000-08-04,True,False,"(3, 2, 2, 4)",0.10749318655346365
2000-08-07,True,False,"(4, 2, 2, 4)",0.1298949853443023
2000-08-08,True,False,"(4, 2, 2, 4)",0.06866051118305645
2000-08-09,True,False,,
2000-08-10,True,False,"(3, 1, 2, 4)",0.06858156924160691
2000-08-11,True,False,"(1, 1, 2, 4)",0.038273952653241024
2000-08-14,True,False,"(5, 1, 2, 4)",0.038326317703841956
2000-08-15,True,False,,
2000-08-16,True,False,,
2000-08-17,True,False,,
2000-08-18,True,False,,
2000-08-21,True,False,,
2000-08-22,True,False,,
