Date,entry_signal,exit_signal,max_combs,max_probs
2004-06-30,False,True,,
2004-07-01,False,True,,
2004-07-02,False,True,,
2004-07-06,False,True,"(1, 1, 5, 4)",0.32984283494494016
2004-07-07,False,True,"(3, 1, 7, 5)",0.08053973500197273
2004-07-08,False,True,,
2004-07-09,False,True,"(3, 1, 5, 5)",0.051281091477194576
2004-07-12,False,True,"(1, 1, 6, 5)",0.11045548441515154
2004-07-13,False,True,"(3, 1, 3, 5)",0.04262749096361129
2004-07-14,False,True,,
2004-07-15,False,True,,
2004-07-16,False,True,,
2004-07-19,False,True,"(1, 1, 3, 5)",0.030039805670571035
2004-07-20,False,True,"(3, 1, 3, 5)",0.027666306326942038
2004-07-21,False,True,,
2004-07-22,False,True,"(2, 1, 6, 5)",0.19112470529339448
2004-07-23,False,True,"(1, 1, 6, 5)",0.05864070285932107
2004-07-26,False,True,"(1, 1, 6, 5)",0.061463296399270305
2004-07-27,False,True,"(2, 2, 5, 5)",0.11855409020897756
2004-07-28,False,True,,
2004-07-29,False,True,,
2004-07-30,False,True,,
2004-08-02,False,True,,
2004-08-03,False,True,,
2004-08-04,False,True,,
2004-08-05,False,True,,
2004-08-06,False,True,,
2004-08-09,False,True,,
2004-08-10,False,True,"(1, 1, 6, 3)",0.37388987248014227
2004-08-11,False,True,,
2004-08-12,False,True,,
2004-08-13,False,True,,
2004-08-16,False,True,,
2004-08-17,True,False,"(1, 1, 6, 5)",0.9973676723724435
2004-08-18,True,False,"(4, 1, 2, 5)",0.9995509359206536
2004-08-19,True,False,"(3, 2, 3, 5)",0.9994414650593034
2004-08-20,True,False,"(3, 2, 8, 3)",0.9996135359105559
2004-08-23,True,False,"(3, 3, 2, 4)",0.9974596931837272
2004-08-24,True,False,"(5, 3, 2, 4)",0.9988149613267592
2004-08-25,True,False,"(5, 3, 5, 4)",0.9957592650594628
2004-08-26,True,False,"(5, 3, 5, 4)",0.9590955958279347
2004-08-27,True,False,"(5, 3, 5, 4)",0.9579398505660098
2004-08-30,True,False,"(1, 1, 5, 4)",0.9639512439902059
2004-08-31,True,False,"(3, 1, 6, 5)",0.9925969256846041
2004-09-01,True,False,"(2, 1, 2, 5)",0.9931150217530501
2004-09-02,True,False,"(1, 1, 2, 5)",0.9826369785308706
2004-09-03,True,False,"(2, 1, 2, 5)",0.9536260416261929
2004-09-07,True,False,"(3, 2, 5, 5)",0.9846260553351373
2004-09-08,True,False,"(5, 2, 6, 4)",0.9982165130075563
2004-09-09,True,False,,
2004-09-10,True,False,"(5, 1, 6, 3)",0.9974508827863956
2004-09-13,True,False,"(4, 1, 5, 5)",0.9266256649467925
2004-09-14,True,False,"(1, 1, 5, 5)",0.04598902591718436
2004-09-15,True,False,"(2, 2, 3, 4)",0.14895023230470172
2004-09-16,True,False,"(2, 2, 3, 3)",0.2795021124397127
2004-09-17,True,False,"(5, 3, 5, 3)",0.2640214742160758
2004-09-20,True,False,"(5, 3, 2, 4)",0.12712424693589564
2004-09-21,True,False,"(1, 1, 2, 3)",0.1325547304128487
2004-09-22,True,False,"(2, 1, 2, 3)",0.09005822767262259
2004-09-23,True,False,"(5, 1, 5, 3)",0.5324274295116708
2004-09-24,True,False,"(5, 1, 5, 3)",0.2840418087620868
2004-09-27,True,False,,
2004-09-28,True,False,,
2004-09-29,True,False,,
2004-09-30,True,False,"(2, 1, 5, 5)",0.9964409352255634
2004-10-01,True,False,"(2, 1, 5, 5)",0.9789988932466026
2004-10-04,True,False,"(4, 1, 5, 3)",0.9898751442464817
2004-10-05,True,False,"(3, 1, 3, 3)",0.8872112091839027
2004-10-06,True,False,"(3, 2, 3, 3)",0.41840744388371154
2004-10-07,True,False,"(4, 4, 2, 3)",0.9541652059529755
2004-10-08,True,False,"(3, 2, 2, 4)",0.5894929260830215
2004-10-11,True,False,"(2, 1, 2, 4)",0.42399507586469537
2004-10-12,True,False,"(5, 1, 2, 4)",0.18840061257546264
2004-10-13,True,False,"(5, 2, 2, 4)",0.21554827250954586
2004-10-14,True,False,"(5, 1, 2, 4)",0.2960262055955692
2004-10-15,True,False,,
2004-10-18,True,False,"(3, 1, 2, 3)",0.31247609905399754
2004-10-19,True,False,"(2, 1, 3, 3)",0.7177390707320129
2004-10-20,True,False,,
2004-10-21,True,False,,
2004-10-22,True,False,,
2004-10-25,True,False,"(4, 1, 6, 4)",0.9927276812428376
2004-10-26,True,False,"(4, 1, 2, 4)",0.9894861456069309
2004-10-27,True,False,"(1, 1, 7, 3)",0.5468016318869913
2004-10-28,True,False,"(2, 2, 2, 2)",0.6256451856191317
2004-10-29,True,False,"(1, 1, 2, 2)",0.12051959325861439
2004-11-01,True,False,"(1, 1, 7, 4)",0.06398622417050828
2004-11-02,True,False,"(2, 2, 7, 3)",0.1998849190721939
2004-11-03,True,False,"(4, 4, 2, 2)",0.07127643989075187
2004-11-04,True,False,"(4, 3, 2, 2)",0.11993913384755601
2004-11-05,True,False,"(5, 3, 2, 2)",0.12046417565621366
2004-11-08,True,False,,
2004-11-09,True,False,,
2004-11-10,True,False,,
2004-11-11,True,False,,
2004-11-12,True,False,"(2, 1, 2, 2)",0.03621415013424657
2004-11-15,True,False,"(2, 1, 2, 2)",0.04332732256681387
2004-11-16,True,False,"(2, 1, 2, 2)",0.03145980231187795
2004-11-17,True,False,"(2, 1, 2, 2)",0.05814715393802859
2004-11-18,True,False,,
2004-11-19,True,False,,
2004-11-22,True,False,,
2004-11-23,True,False,"(5, 1, 2, 2)",0.032751163883426145
2004-11-24,True,False,"(5, 1, 2, 2)",0.06637101174039642
2004-11-26,True,False,"(3, 2, 2, 3)",0.0729440021945831
2004-11-29,True,False,,
2004-11-30,True,False,,
2004-12-01,True,False,,
2004-12-02,True,False,,
2004-12-03,True,False,,
2004-12-06,True,False,,
2004-12-07,True,False,,
2004-12-08,True,False,,
2004-12-09,True,False,,
2004-12-10,True,False,,
2004-12-13,True,False,"(2, 1, 6, 5)",0.2319266150403766
2004-12-14,True,False,"(1, 1, 3, 5)",0.5460954262598592
2004-12-15,True,False,"(5, 1, 3, 5)",0.15656304642871516
2004-12-16,True,False,"(4, 1, 3, 5)",0.8777958105552551
2004-12-17,True,False,"(5, 2, 2, 5)",0.2921756037695702
2004-12-20,True,False,,
2004-12-21,True,False,"(5, 1, 6, 4)",0.8615665279594871
2004-12-22,True,False,"(1, 1, 2, 5)",0.5357893634375226
2004-12-23,True,False,"(5, 1, 2, 5)",0.0884091642057671
2004-12-27,True,False,"(2, 2, 7, 5)",0.23596941587582262
2004-12-28,True,False,"(5, 2, 9, 5)",0.24911810058886952
2004-12-29,True,False,"(5, 2, 7, 5)",0.19929824497479504
2004-12-30,True,False,"(5, 2, 9, 5)",0.18990503509684448
2004-12-31,True,False,"(5, 1, 9, 5)",0.2431822536372784
2005-01-03,True,False,,
2005-01-04,True,False,,
2005-01-05,True,False,,
2005-01-06,True,False,"(4, 1, 7, 5)",0.060752076560873586
2005-01-07,True,False,"(4, 1, 7, 5)",0.09984518613111684
2005-01-10,True,False,"(5, 1, 3, 5)",0.08779787727354765
2005-01-11,True,False,"(5, 1, 9, 5)",0.13786189782422809
2005-01-12,True,False,,
2005-01-13,True,False,,
2005-01-14,True,False,,
2005-01-18,True,False,,
2005-01-19,True,False,,
2005-01-20,True,False,,
2005-01-21,True,False,,
2005-01-24,True,False,,
2005-01-25,True,False,,
2005-01-26,True,False,,
2005-01-27,True,False,,
2005-01-28,True,False,,
2005-01-31,True,False,,
2005-02-01,True,False,"(2, 1, 8, 5)",0.2066010205756183
2005-02-02,True,False,,
2005-02-03,True,False,,
2005-02-04,True,False,"(1, 1, 5, 5)",0.34029673923479553
2005-02-07,True,False,"(3, 1, 6, 2)",0.3039941621296978
2005-02-08,True,False,"(2, 1, 2, 5)",0.8359395831998063
2005-02-09,True,False,,
2005-02-10,True,False,,
2005-02-11,True,False,"(5, 1, 2, 5)",0.9888608062418038
2005-02-14,True,False,"(1, 1, 2, 5)",0.9971710565408146
2005-02-15,True,False,"(3, 1, 3, 5)",0.9873897277754926
2005-02-16,True,False,"(4, 1, 2, 5)",0.9810329461998846
2005-02-17,True,False,"(4, 1, 3, 5)",0.9798371706715413
2005-02-18,True,False,"(5, 1, 5, 3)",0.9380444772916803
2005-02-22,True,False,"(5, 1, 5, 3)",0.5292770557361388
2005-02-23,True,False,"(4, 1, 5, 5)",0.18696017888319583
2005-02-24,True,False,"(4, 1, 3, 4)",0.449235564932681
2005-02-25,True,False,"(4, 2, 3, 5)",0.5391438159098254
2005-02-28,True,False,"(5, 3, 5, 5)",0.4962940950233032
2005-03-01,True,False,"(2, 1, 5, 5)",0.07898378873428617
2005-03-02,True,False,"(1, 1, 5, 5)",0.11352141582662642
2005-03-03,True,False,"(2, 1, 5, 5)",0.16036420984331107
2005-03-04,True,False,"(3, 1, 5, 5)",0.1492837126786392
2005-03-07,True,False,"(5, 2, 2, 5)",0.09161852274584564
2005-03-08,True,False,"(5, 1, 3, 5)",0.04923730060193221
2005-03-09,True,False,,
2005-03-10,True,False,,
2005-03-11,True,False,,
2005-03-14,True,False,"(1, 1, 2, 2)",0.2455467032572542
2005-03-15,True,False,,
2005-03-16,True,False,,
2005-03-17,True,False,,
2005-03-18,True,False,"(2, 1, 6, 2)",0.38858555004472206
2005-03-21,True,False,"(2, 1, 5, 2)",0.323372274971456
2005-03-22,True,False,,
2005-03-23,True,False,,
2005-03-24,True,False,,
2005-03-28,True,False,,
2005-03-29,True,False,,
2005-03-30,True,False,,
2005-03-31,True,False,"(1, 1, 4, 2)",0.9325400337732548
2005-04-01,True,False,"(2, 2, 5, 2)",0.7517971834710009
2005-04-04,True,False,"(3, 2, 4, 2)",0.4613309128179832
