Date,entry_signal,exit_signal,max_combs,max_probs
2000-01-07,False,True,,
2000-01-10,False,True,,
2000-01-11,False,True,,
2000-01-12,False,True,,
2000-01-13,False,True,,
2000-01-14,False,True,,
2000-01-18,False,True,"(1, 1, 2, 2)",0.23130165461494062
2000-01-19,False,True,"(1, 1, 2, 2)",0.23130165461494062
2000-01-20,False,True,"(4, 1, 2, 2)",0.23130165461494062
2000-01-21,False,True,,
2000-01-24,False,True,,
2000-01-25,False,True,,
2000-01-26,False,True,,
2000-01-27,False,True,,
2000-01-28,False,True,,
2000-01-31,False,True,,
2000-02-01,False,True,"(2, 1, 2, 2)",0.2811897522004095
2000-02-02,False,True,,
2000-02-03,True,False,"(3, 1, 2, 2)",0.5841666181714082
2000-02-04,False,True,,
2000-02-07,False,True,,
2000-02-08,False,True,,
2000-02-09,False,True,"(1, 1, 2, 2)",0.2767895382899703
2000-02-10,False,True,"(1, 1, 2, 2)",0.27740479040400745
2000-02-11,False,True,"(3, 3, 2, 2)",0.3024011785324886
2000-02-14,False,True,"(4, 3, 2, 2)",0.2500948567005059
2000-02-15,False,True,"(3, 1, 2, 2)",0.24102072389459187
2000-02-16,False,True,,
2000-02-17,False,True,"(5, 1, 2, 2)",0.23394376019040974
2000-02-18,False,True,"(2, 1, 2, 2)",0.23394376019040974
2000-02-22,False,True,"(2, 1, 2, 2)",0.23394376019040974
2000-02-23,False,True,"(4, 1, 2, 2)",0.23394376019040974
2000-02-24,False,True,,
2000-02-25,False,True,,
2000-02-28,False,True,"(4, 1, 2, 2)",0.22938926171523202
2000-02-29,False,True,,
2000-03-01,False,True,,
2000-03-02,False,True,,
2000-03-03,False,True,,
2000-03-06,False,True,,
2000-03-07,False,True,,
2000-03-08,False,True,,
2000-03-09,True,False,"(1, 1, 2, 2)",0.674116625436336
2000-03-10,True,False,"(2, 1, 2, 2)",0.6487876148206193
2000-03-13,False,True,"(2, 1, 2, 2)",0.654374364863585
2000-03-14,False,True,,
2000-03-15,False,True,,
2000-03-16,False,True,"(1, 1, 2, 2)",0.3373040338617468
2000-03-17,False,True,"(3, 1, 2, 2)",0.4294285370521229
2000-03-20,False,True,"(2, 1, 2, 2)",0.37647090656734605
2000-03-21,True,False,"(1, 1, 2, 2)",0.5412371391410358
2000-03-22,True,False,"(2, 1, 2, 2)",0.5765722048260575
2000-03-23,False,True,"(3, 1, 2, 2)",0.6567170085725204
2000-03-24,False,True,,
2000-03-27,False,True,,
2000-03-28,True,False,"(5, 1, 2, 2)",0.7267892167964888
2000-03-29,True,False,"(1, 1, 2, 2)",0.6637503433617065
2000-03-30,True,False,"(1, 1, 2, 2)",0.4561489984874132
2000-03-31,True,False,"(2, 1, 2, 2)",0.46572446414854546
2000-04-03,True,False,"(2, 1, 2, 2)",0.4318914675490785
2000-04-04,True,False,"(1, 1, 2, 2)",0.32512258265398863
2000-04-05,True,False,"(4, 3, 2, 2)",0.3373944008600097
2000-04-06,True,False,"(3, 3, 2, 2)",0.47010423898155473
2000-04-07,True,False,"(5, 1, 2, 2)",0.3769135475844202
2000-04-10,False,True,"(2, 1, 2, 2)",0.3126605781422916
2000-04-11,False,True,"(1, 1, 2, 2)",0.46113163649795863
2000-04-12,False,True,"(5, 3, 2, 2)",0.30073141609117143
2000-04-13,False,True,"(3, 1, 2, 2)",0.39008613662432806
2000-04-14,False,True,"(4, 1, 2, 2)",0.40461050496329554
2000-04-17,False,True,"(3, 1, 2, 2)",0.41978845954132643
2000-04-18,False,True,,
2000-04-19,False,True,,
2000-04-20,False,True,,
2000-04-24,False,True,"(1, 1, 2, 2)",0.23435895091520967
2000-04-25,False,True,"(2, 1, 2, 2)",0.2850241105421725
2000-04-26,False,True,"(2, 1, 2, 2)",0.3480320331695238
2000-04-27,False,True,"(4, 1, 2, 2)",0.3297353633424689
2000-04-28,False,True,,
2000-05-01,True,False,"(5, 1, 2, 2)",0.6877353469500839
2000-05-02,True,False,"(1, 1, 2, 2)",0.5135317808888458
2000-05-03,True,False,"(1, 1, 2, 2)",0.6361675932305757
2000-05-04,True,False,,
2000-05-05,False,True,"(2, 1, 2, 2)",0.7215911882482858
2000-05-08,True,False,"(1, 1, 2, 2)",0.6084269634376384
2000-05-09,True,False,"(2, 1, 2, 2)",0.7343709264824424
2000-05-10,True,False,"(2, 1, 2, 2)",0.5700660131956258
2000-05-11,True,False,"(1, 1, 2, 2)",0.32582183835740464
2000-05-12,True,False,"(4, 3, 2, 2)",0.48013683364172244
2000-05-15,False,True,"(5, 3, 2, 2)",0.4536264217123017
2000-05-16,False,True,"(5, 1, 2, 2)",0.47910965253613885
2000-05-17,False,True,,
2000-05-18,False,True,"(5, 1, 2, 2)",0.4408966928630666
2000-05-19,True,False,"(2, 1, 2, 2)",0.5754766821372788
2000-05-22,True,False,"(2, 1, 2, 2)",0.46307499771058835
2000-05-23,True,False,"(2, 1, 2, 2)",0.7243483715375977
2000-05-24,True,False,"(2, 1, 2, 2)",0.5111776727811598
2000-05-25,True,False,"(2, 1, 2, 2)",0.433965796696977
2000-05-26,True,False,"(2, 1, 2, 2)",0.43105673455727933
2000-05-30,True,False,"(5, 3, 2, 2)",0.29573577946319524
2000-05-31,True,False,"(3, 1, 2, 2)",0.425746301530452
2000-06-01,False,True,"(4, 1, 2, 2)",0.6547271260184697
2000-06-02,True,False,"(4, 1, 2, 2)",0.7097190619893762
2000-06-05,False,True,,
2000-06-06,False,True,,
2000-06-07,False,True,"(1, 1, 2, 2)",0.4323359258371949
2000-06-08,False,True,"(1, 1, 2, 2)",0.4450031549383508
2000-06-09,False,True,"(3, 1, 2, 2)",0.48791255539203865
2000-06-12,False,True,"(4, 3, 2, 2)",0.2876929894084492
2000-06-13,False,True,"(1, 1, 2, 2)",0.37782330712006434
2000-06-14,False,True,"(5, 3, 2, 2)",0.300314083268284
2000-06-15,False,True,"(5, 3, 2, 2)",0.38609677752453714
2000-06-16,False,True,"(2, 1, 2, 2)",0.29492492430840506
2000-06-19,False,True,"(4, 3, 2, 2)",0.3973303044127104
2000-06-20,False,True,,
2000-06-21,False,True,"(3, 1, 2, 2)",0.490436061843241
2000-06-22,True,False,"(4, 1, 2, 2)",0.6599571681083957
2000-06-23,True,False,"(5, 1, 2, 2)",0.6304416048738586
2000-06-26,False,True,"(1, 1, 2, 2)",0.23089044993626978
2000-06-27,False,True,"(2, 1, 2, 2)",0.23089044993626978
2000-06-28,False,True,"(3, 1, 2, 2)",0.23130165461494062
2000-06-29,False,True,"(4, 1, 2, 2)",0.26985086247656237
2000-06-30,False,True,"(4, 1, 2, 2)",0.2554038295844407
2000-07-03,False,True,"(2, 1, 2, 2)",0.23676834313704928
2000-07-05,False,True,"(2, 1, 2, 2)",0.23130165461494062
2000-07-06,False,True,"(1, 1, 2, 2)",0.23130165461494062
2000-07-07,False,True,,
2000-07-10,False,True,,
2000-07-11,False,True,,
2000-07-12,False,True,,
2000-07-13,False,True,,
2000-07-14,True,False,"(1, 1, 2, 2)",0.7046715295085374
2000-07-17,True,False,"(1, 1, 2, 2)",0.6915818428737354
2000-07-18,True,False,"(1, 1, 2, 2)",0.6932235137349197
2000-07-19,True,False,"(3, 3, 2, 2)",0.5581518284426022
2000-07-20,True,False,"(3, 3, 2, 2)",0.6087076754038606
2000-07-21,True,False,"(3, 3, 2, 2)",0.6450440929183855
2000-07-24,True,False,"(3, 1, 2, 2)",0.3455691496156953
2000-07-25,False,True,"(2, 1, 2, 2)",0.5607544913207684
2000-07-26,False,True,"(3, 1, 2, 2)",0.37020127846682577
2000-07-27,True,False,"(4, 1, 2, 2)",0.5807610785653825
2000-07-28,True,False,"(1, 1, 2, 2)",0.5484459574548888
2000-07-31,True,False,"(1, 1, 2, 2)",0.2909963038219732
2000-08-01,True,False,"(3, 3, 2, 2)",0.29018250519060035
2000-08-02,True,False,"(3, 3, 2, 2)",0.3279952896694607
2000-08-03,False,True,"(4, 3, 2, 2)",0.31043725428901076
2000-08-04,False,True,"(5, 3, 2, 2)",0.31786863266855936
2000-08-07,False,True,,
2000-08-08,False,True,,
2000-08-09,False,True,,
2000-08-10,False,True,,
2000-08-11,False,True,"(1, 1, 2, 2)",0.2309196154735692
2000-08-14,False,True,"(1, 1, 2, 2)",0.26323693394824654
2000-08-15,False,True,"(3, 3, 2, 2)",0.2338151878207981
2000-08-16,False,True,,
2000-08-17,False,True,,
2000-08-18,False,True,"(4, 1, 2, 2)",0.28775779495007364
2000-08-21,False,True,"(1, 1, 2, 2)",0.23456459606926103
2000-08-22,False,True,,
2000-08-23,False,True,"(2, 1, 2, 2)",0.34946527930687077
2000-08-24,False,True,"(1, 1, 2, 2)",0.3333593230242507
2000-08-25,False,True,,
2000-08-28,False,True,"(2, 1, 2, 2)",0.3333593230242507
2000-08-29,False,True,,
2000-08-30,False,True,,
2000-08-31,False,True,,
2000-09-01,True,False,"(2, 1, 2, 2)",0.5978473589740816
2000-09-05,True,False,"(2, 1, 2, 2)",0.4922081953918617
2000-09-06,True,False,"(4, 1, 2, 2)",0.6534218067171417
2000-09-07,True,False,"(2, 1, 2, 2)",0.4615643585510593
2000-09-08,True,False,"(2, 1, 2, 2)",0.5035912759735119
2000-09-11,False,True,"(2, 1, 2, 2)",0.507709628621431
