,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,81.3559111628358,2000-02-15,1.2291669845581057,0.0,2000-02-22,1.2222219705581665,0.0,-0.565017942003692,-0.00565017942003692,Long,Closed,0
1,1,0,79.76955167427803,2000-03-03,1.2465280294418335,0.0,2000-03-07,1.1875,0.0,-4.708639444791146,-0.04735395277735145,Long,Closed,1
2,2,0,75.78107409056413,2000-03-08,1.25,0.0,2000-03-10,1.2395830154418943,0.0,-0.7894102785980692,-0.008333587646484546,Long,Closed,2
3,3,0,80.51734863328394,2000-05-08,1.1666669845581057,0.0,2000-05-23,1.263888955116272,0.0,7.828055298246738,0.08333309491481895,Long,Closed,3
4,4,0,90.73780142927023,2000-06-23,1.1215280294418335,0.0,2000-06-30,1.2083330154418943,0.0,7.876493582744104,0.07739885559816306,Long,Closed,4
5,5,0,80.34797441773274,2000-07-27,1.3645830154418943,0.0,2000-08-10,1.475693941116333,0.0,8.927537813620404,0.08142481946285805,Long,Closed,5
6,6,0,100.43489094565922,2000-10-16,1.180556058883667,0.0,2000-10-17,1.1597219705581665,0.0,-2.092469388923874,-0.01764769082223947,Long,Closed,6
7,7,0,99.54078456324929,2000-10-20,1.170138955116272,0.0,2000-11-09,1.4479169845581057,0.0,27.65024298507349,0.2373889256718507,Long,Closed,7
8,8,0,100.74879046532239,2000-11-27,1.430556058883667,0.0,2000-12-01,1.40625,0.0,-2.4488060335083617,-0.01699063712514299,Long,Closed,8
9,9,0,104.35615894634218,2000-12-19,1.357638955116272,0.0,2000-12-29,1.444443941116333,0.0,9.058634916357363,0.06393819628770646,Long,Closed,9
10,10,0,99.11451157208,2001-01-03,1.5208330154418943,0.0,2001-01-11,1.5416669845581057,0.0,2.06494867306111,0.01369905104943954,Long,Closed,10
11,11,0,99.33829935019992,2001-01-19,1.538193941116333,0.0,2001-01-22,1.5729169845581057,0.0,3.449328083768819,0.02257390470318247,Long,Closed,11
12,12,0,101.12417252032131,2001-01-23,1.545138955116272,0.0,2001-01-24,1.538193941116333,0.0,-0.7023087938858623,-0.0044947504410153384,Long,Closed,12
13,13,0,98.00052634216912,2001-01-30,1.5872219800949097,0.0,2001-02-05,1.694443941116333,0.0,10.507808615539034,0.06755322340924988,Long,Closed,13
14,14,0,98.00052634216912,2001-02-08,1.694443941116333,0.0,2001-02-15,1.75,0.0,5.444523012095914,0.03278719203130771,Long,Closed,14
15,15,0,94.4041614711698,2001-02-20,1.816666960716248,0.0,2001-03-01,1.8333330154418943,0.0,1.573344921407255,0.009173973593418214,Long,Closed,15
16,16,0,104.64684885994714,2001-03-15,1.6538889408111572,0.0,2001-03-16,1.5833330154418943,0.0,-7.383455258290951,-0.04266061863540747,Long,Closed,16
17,17,0,95.28544534291505,2001-03-26,1.73888897895813,0.0,2001-04-04,1.850000023841858,0.0,10.58726539426263,0.06389772218252884,Long,Closed,17
18,18,0,95.77436041796258,2001-04-24,1.8405560255050657,0.0,2001-05-01,1.88611102104187,0.0,4.363000561380545,0.024750670398258214,Long,Closed,18
19,19,0,94.24750265586847,2001-05-02,1.9166669845581052,0.0,2001-05-14,2.105556011199951,0.0,17.80231904009179,0.0985507801635113,Long,Closed,19
20,20,0,107.91483088728411,2001-06-22,1.8388890027999882,0.0,2001-06-25,1.7916669845581057,0.0,-5.095956112728999,-0.025679645791551218,Long,Closed,20
21,21,0,99.720735425377,2001-07-02,1.9388890266418457,0.0,2001-07-03,1.940556049346924,0.0,0.16623673012119866,0.0008597824229092028,Long,Closed,21
