Date,entry_signal,exit_signal,max_combs,max_probs
2000-01-07,False,True,,
2000-01-10,False,True,,
2000-01-11,False,True,,
2000-01-12,False,True,,
2000-01-13,False,True,"(1, 1, 2, 2)",0.15322100004086917
2000-01-14,False,True,"(1, 1, 2, 2)",0.1845054298951131
2000-01-18,False,True,,
2000-01-19,False,True,"(2, 1, 2, 2)",0.188408970803428
2000-01-20,False,True,,
2000-01-21,False,True,,
2000-01-24,False,True,,
2000-01-25,False,True,,
2000-01-26,False,True,,
2000-01-27,True,False,"(1, 1, 2, 3)",0.6027268700504724
2000-01-28,True,False,"(2, 1, 2, 3)",0.5843919165466893
2000-01-31,True,False,"(2, 1, 2, 4)",0.18085373207270874
2000-02-01,True,False,"(3, 2, 2, 4)",0.16606641781819279
2000-02-02,True,False,"(2, 1, 2, 4)",0.09910442345486838
2000-02-03,True,False,,
2000-02-04,True,False,,
2000-02-07,True,False,,
2000-02-08,True,False,,
2000-02-09,True,False,"(2, 1, 2, 4)",0.07473466628920009
2000-02-10,True,False,,
2000-02-11,True,False,,
2000-02-14,True,False,,
2000-02-15,True,False,"(1, 1, 2, 4)",0.12526387027247526
2000-02-16,True,False,"(2, 1, 6, 4)",0.07479864785742778
2000-02-17,True,False,,
2000-02-18,True,False,,
2000-02-22,True,False,,
2000-02-23,True,False,,
2000-02-24,True,False,,
2000-02-25,True,False,,
2000-02-28,True,False,,
2000-02-29,True,False,,
2000-03-01,True,False,,
2000-03-02,True,False,,
2000-03-03,True,False,,
2000-03-06,True,False,,
2000-03-07,True,False,,
2000-03-08,True,False,,
2000-03-09,True,False,"(1, 1, 2, 4)",0.7458451236822179
2000-03-10,True,False,"(2, 1, 6, 4)",0.7369016474106852
2000-03-13,True,False,,
2000-03-14,True,False,,
2000-03-15,True,False,,
2000-03-16,True,False,"(1, 1, 2, 4)",0.3353402954378566
2000-03-17,True,False,"(2, 2, 2, 4)",0.1807472300570515
2000-03-20,True,False,"(3, 2, 2, 4)",0.3068441982586074
2000-03-21,True,False,"(4, 2, 2, 4)",0.40459462774043636
2000-03-22,True,False,"(4, 2, 2, 4)",0.3798202617554129
2000-03-23,True,False,"(5, 2, 2, 4)",0.4061194918731534
2000-03-24,True,False,,
2000-03-27,True,False,,
2000-03-28,True,False,"(5, 1, 2, 4)",0.8717165480429977
2000-03-29,True,False,"(1, 1, 2, 4)",0.9017800482249775
2000-03-30,True,False,"(1, 1, 2, 4)",0.8598090672633512
2000-03-31,True,False,"(2, 2, 2, 4)",0.8162448401926891
2000-04-03,True,False,"(3, 2, 2, 4)",0.370202278804221
2000-04-04,True,False,"(3, 2, 2, 4)",0.5137775840081816
2000-04-05,True,False,"(2, 2, 2, 4)",0.24353917385742158
2000-04-06,True,False,"(4, 2, 2, 4)",0.407563332649347
2000-04-07,True,False,"(5, 2, 2, 4)",0.7297545277120064
2000-04-10,True,False,"(5, 2, 2, 4)",0.3928800257365888
2000-04-11,True,False,"(1, 1, 2, 3)",0.35639332664739415
2000-04-12,True,False,"(2, 2, 2, 4)",0.3757035002718483
2000-04-13,True,False,"(2, 2, 2, 4)",0.18383618762976386
2000-04-14,True,False,,
2000-04-17,True,False,"(4, 2, 2, 4)",0.5992692860766976
2000-04-18,True,False,"(1, 1, 2, 4)",0.2523325658947463
2000-04-19,True,False,"(1, 1, 2, 3)",0.2504850805929525
2000-04-20,True,False,"(2, 2, 2, 4)",0.3177679074831566
2000-04-24,True,False,"(2, 1, 2, 3)",0.21070853390866318
2000-04-25,True,False,"(3, 2, 2, 4)",0.15916971210211162
2000-04-26,True,False,"(3, 1, 2, 3)",0.21961032372541756
2000-04-27,True,False,"(4, 1, 2, 3)",0.24117059070765592
2000-04-28,True,False,,
2000-05-01,True,False,"(5, 1, 2, 4)",0.7696184413046031
2000-05-02,True,False,"(1, 1, 2, 4)",0.7625692054439868
2000-05-03,True,False,"(2, 1, 2, 4)",0.7396270450589879
2000-05-04,True,False,,
2000-05-05,True,False,,
2000-05-08,True,False,"(1, 1, 2, 3)",0.24638929930970346
2000-05-09,True,False,"(2, 2, 2, 4)",0.4135646417657426
2000-05-10,True,False,"(3, 2, 2, 4)",0.43481217736149075
2000-05-11,True,False,"(4, 2, 2, 4)",0.5106544766948424
2000-05-12,True,False,"(5, 2, 2, 4)",0.5521756873195838
2000-05-15,True,False,"(5, 2, 2, 4)",0.32644947171447153
2000-05-16,True,False,"(2, 1, 2, 3)",0.4746107618411262
2000-05-17,True,False,"(2, 1, 2, 3)",0.5179984201685945
2000-05-18,True,False,"(3, 1, 2, 3)",0.4652668440801978
2000-05-19,True,False,"(4, 1, 2, 3)",0.2884012284557638
2000-05-22,True,False,"(5, 2, 2, 4)",0.25813424446858746
2000-05-23,True,False,,
2000-05-24,True,False,"(3, 1, 2, 3)",0.15430029407070645
2000-05-25,True,False,"(4, 2, 2, 4)",0.12952254704792368
2000-05-26,True,False,"(5, 2, 2, 4)",0.18770211484680668
2000-05-30,True,False,"(4, 2, 2, 4)",0.10265029818704186
2000-05-31,True,False,"(5, 2, 2, 4)",0.14865794994908244
2000-06-01,True,False,"(5, 2, 2, 4)",0.2101901053167273
2000-06-02,True,False,,
2000-06-05,True,False,,
2000-06-06,True,False,,
2000-06-07,True,False,"(1, 1, 2, 4)",0.7994560377799025
2000-06-08,True,False,"(2, 2, 2, 4)",0.7839703401276251
2000-06-09,True,False,"(2, 1, 2, 4)",0.6047925764292863
2000-06-12,True,False,"(3, 2, 2, 4)",0.5568349121708476
2000-06-13,True,False,"(2, 1, 2, 4)",0.4088012987539575
2000-06-14,True,False,"(3, 2, 2, 4)",0.19860099560825284
2000-06-15,True,False,"(2, 2, 2, 4)",0.16549738317242368
2000-06-16,True,False,"(3, 1, 2, 3)",0.48121027483940865
2000-06-19,True,False,"(3, 2, 2, 4)",0.3797685923402226
2000-06-20,True,False,,
2000-06-21,True,False,"(5, 2, 2, 4)",0.5099147624431565
2000-06-22,True,False,,
2000-06-23,True,False,"(2, 1, 2, 4)",0.8614526711998546
2000-06-26,True,False,"(1, 1, 2, 4)",0.7818355151976557
2000-06-27,True,False,"(1, 1, 2, 3)",0.5778980430416923
2000-06-28,True,False,"(2, 1, 2, 3)",0.49612918695242725
2000-06-29,True,False,"(3, 2, 2, 4)",0.23297061453508824
2000-06-30,True,False,"(3, 2, 2, 4)",0.13933216145842514
2000-07-03,True,False,"(2, 2, 2, 4)",0.11792762744728143
2000-07-05,True,False,"(2, 2, 2, 4)",0.13352718673172373
2000-07-06,True,False,"(2, 2, 2, 4)",0.10076735895689194
2000-07-07,True,False,"(5, 2, 2, 4)",0.07733861472223609
2000-07-10,True,False,"(3, 2, 2, 4)",0.10609332632028336
2000-07-11,True,False,"(3, 2, 2, 4)",0.13617015402622507
2000-07-12,True,False,,
2000-07-13,True,False,,
2000-07-14,True,False,,
2000-07-17,True,False,"(5, 2, 6, 4)",0.5283870877405332
2000-07-18,True,False,"(1, 1, 6, 4)",0.4353343785814165
2000-07-19,True,False,"(1, 1, 6, 4)",0.5014921150425085
2000-07-20,True,False,,
2000-07-21,True,False,"(2, 1, 6, 4)",0.8689316984786408
2000-07-24,True,False,"(1, 1, 2, 4)",0.3068529348288596
2000-07-25,True,False,"(2, 1, 6, 4)",0.5096567849166945
2000-07-26,True,False,"(2, 1, 2, 4)",0.5702868103164642
2000-07-27,True,False,"(1, 1, 2, 4)",0.41230626997674596
2000-07-28,True,False,"(1, 1, 2, 4)",0.294326070047309
2000-07-31,True,False,"(3, 1, 2, 4)",0.41510847061731665
2000-08-01,True,False,"(2, 1, 2, 4)",0.10652961605710248
2000-08-02,True,False,"(3, 2, 2, 4)",0.08870725454370906
2000-08-03,True,False,"(2, 1, 2, 3)",0.15929828464581092
2000-08-04,True,False,"(4, 2, 2, 4)",0.12135619098102501
2000-08-07,True,False,"(5, 2, 2, 4)",0.14838082329744898
2000-08-08,True,False,"(5, 2, 2, 4)",0.1043808019131525
2000-08-09,True,False,,
2000-08-10,True,False,"(5, 1, 2, 4)",0.6425280929246147
2000-08-11,True,False,"(1, 1, 2, 4)",0.36081140032817577
2000-08-14,True,False,"(1, 1, 2, 3)",0.2557193524433226
2000-08-15,True,False,"(2, 2, 2, 4)",0.24057749874060802
2000-08-16,True,False,"(2, 1, 2, 3)",0.16607918624600457
2000-08-17,True,False,"(3, 2, 2, 4)",0.12066375468647378
2000-08-18,True,False,,
2000-08-21,True,False,"(3, 1, 2, 4)",0.13921701452464394
2000-08-22,True,False,"(4, 1, 2, 3)",0.14748119825451103
2000-08-23,True,False,"(5, 1, 2, 3)",0.09144019490397891
2000-08-24,True,False,"(4, 1, 2, 3)",0.06123562146974977
2000-08-25,True,False,"(2, 1, 2, 3)",0.08416640341312652
2000-08-28,True,False,"(3, 1, 2, 3)",0.09829083161679202
2000-08-29,True,False,,
2000-08-30,True,False,,
2000-08-31,True,False,,
2000-09-01,True,False,,
2000-09-05,True,False,,
2000-09-06,True,False,,
2000-09-07,True,False,,
2000-09-08,True,False,,
2000-09-11,True,False,,
2000-09-12,True,False,"(1, 1, 2, 4)",0.24372280885805542
2000-09-13,True,False,"(2, 2, 2, 4)",0.3998612175028351
2000-09-14,True,False,"(4, 2, 2, 4)",0.4936150287988526
